dates,number_of_marriage
2022-02-15,14
2020-12-13,6
2020-01-26,12
2023-12-20,9
2022-03-03,11
2018-01-24,13
2020-01-26,9
2019-01-12,8
2023-09-11,12
2019-06-30,14
2022-05-24,6
2021-12-17,9
2021-06-24,4
2021-07-26,10
2023-03-13,11
2018-08-16,10
2020-07-05,7
2023-03-15,9
2020-02-11,13
2020-05-03,7
2020-04-13,18
2021-11-07,10
2021-02-16,6
2019-01-25,8
2018-03-07,6
2022-08-22,13
2020-12-01,9
2021-05-08,9
2023-12-08,10
2022-03-18,7
2023-01-02,11
2022-05-11,13
2022-12-29,12
2019-12-25,7
2019-10-05,12
2019-11-08,11
2022-06-29,8
2019-08-31,11
2022-02-23,13
2021-11-10,10
2018-02-16,11
2019-09-09,6
2021-07-16,12
2019-12-27,10
2019-04-20,12
2023-12-06,5
2023-05-22,9
2023-06-06,13
2023-07-19,11
2018-11-28,10
2021-12-28,8
2020-02-27,10
2018-03-30,6
2018-12-18,13
2020-12-08,10
2018-12-05,8
2018-05-30,11
2023-09-28,10
2019-10-06,12
2018-02-15,13
2022-06-22,10
2019-03-10,11
2022-10-29,8
2018-01-13,8
2023-05-14,9
2018-05-20,10
2018-09-03,7
2019-07-16,7
2023-08-13,13
2021-09-06,16
2018-08-26,15
2022-08-21,18
2023-09-17,6
2020-06-17,8
2019-11-04,10
2023-06-09,16
2019-09-09,10
2021-12-28,12
2021-08-22,8
2020-05-01,15
2020-04-15,8
2020-11-05,14
2020-01-12,10
2020-06-30,13
2019-05-24,6
2020-11-20,15
2019-03-19,10
2019-07-08,11
2022-05-29,8
2023-05-04,12
2022-09-21,15
2018-08-04,10
2019-05-25,10
2023-04-26,8
2019-03-18,4
2022-12-05,9
2020-03-12,14
2019-05-02,12
2023-08-02,8
2023-08-03,7
